index,feature_name,description
1,layer_name,"Признак: layer_name  
Описание: Имя стратиграфической или литологической пачки горных пород, используемое для идентификации конкретного геологического слоя, характеризующего определенный интервал разреза. Выражается строковым значением (например, имя горизонта, формации). Признак важен для классификации и систематизации нефтегазовых объектов, обеспечения однозначной привязки разрезов скважин и корреляции отложений между различными скважинами и площадями."
2,layer_path,"Признак: layer_path  
Описание: Маршрутный путь распространения отдельных литолого-стратиграфических слоев в трехмерной модели геологической среды, отражающий пространственное распределение и геометрию слоев. Представлен в виде списка координат (XYZ), определяющих местоположение границ каждого стратиграфического горизонта. Единицы измерения — метры. Данный признак необходим для моделирования и визуализации структурных и тектонических особенностей, а также изучения потенциальных зон нефтегазонакопления и прогноза распределения запасов углеводородов."
3,layer_type,"Признак: layer_type  
Описание: Тип геологического слоя — классификационная характеристика слоя, отражающая его литологическое строение, структурную принадлежность и физико-химические свойства. Указывается тип породы (песчаник, аргиллит, известняк и др.) или другие признаки (аккумуляция осадков, тектонические нарушения). Единицы измерения отсутствуют. Данный признак важен для анализа нефтегазоносности, поскольку позволяет дифференцировать потенциальные продуктивные горизонты и понимать геологическую обстановку района исследований."
4,geometry_type,"Геологический признак **geometry_type** определяет тип геометрической формы геологического тела (коллектора, покрышки, источника углеводородов), представленного в трехмерной модели месторождения нефти и газа. Тип геометрии (сферическая, цилиндрическая, пластовая, куполовидная и др.) фиксируется в виде цифровой кодировки и применяется для классификации формальных особенностей коллекторов и оценки потенциальной продуктивности объектов. Единицы измерения отсутствуют. Знание типа геометрии коллектора критично для понимания гидродинамических свойств резервуара, распределения пористости и проницаемости, прогноза запасов углеводородов и разработки эффективных методов эксплуатации месторождений."
5,lon,"Признак: lon

Описание: Широта географического положения точки наблюдений, выраженная в градусах северной или южной широты относительно экватора Земли. Применяется для описания пространственного распределения геологических объектов и месторождений в Каспийском море. Важный элемент картографирования и позиционирования структур, связанных с нефтегазовыми ресурсами.
Единицы измерения: градусы (°).  
Значение важно для оценки регионального распространения литолого-стратиграфических комплексов, перспективности площадей и учета особенностей тектоники региона."
6,lat,"Признак: lat

Описание: Широта — географическая координата, указывающая положение точки относительно экватора Земли в градусах северной или южной широты. В нефтегазовой геологии Каспийского моря широта (lat) применяется для описания пространственного положения исследуемых объектов, скважин и пластов, позволяя точно определить их местоположение и взаиморасположение. Единица измерения — градусы (°). Широта важна для корректной интерпретации результатов сейсморазведки, картирования месторождений и определения оптимальных направлений бурения."
7,feature_id,"Feature_id — уникальный идентификатор геологического объекта или слоя, используемый для однозначной идентификации структур, формаций, горизонтов или отложений в базе данных. Выражается целым числом. Признак необходим для организации эффективной работы с большим объемом данных, обеспечения целостности и корректности ссылок между различными таблицами баз данных, а также упрощения поиска и классификации объектов исследования. Важность данного признака обусловлена необходимостью точной фиксации пространственного положения и характеристик каждого исследуемого элемента геологической среды."
8, PWD,"PWD (Pressure While Drilling)  
**Описание:** Глубинная запись технологических параметров бурения скважины во время её проходки, включающая изменения давления столба бурового раствора, порового давления пласта и гидростатического давления.  
**Единицы измерения:** Бар, Па, кгс/см².  
**Значение:** Позволяет оперативно отслеживать параметры бурения, выявлять аномалии пластовых давлений, контролировать целостность стенок ствола скважины и прогнозировать места возможной продуктивности. Является важным индикатором для оптимизации процесса бурения и повышения эффективности поиска и добычи углеводородов."
9,BEREG_N_ID,"Признак: BEREG_N_ID  
Описание: Уникальный идентификатор береговой линии (BEREG), используемый для привязки геологических слоев к конкретной точке побережья Каспийского моря. Указывается в виде числового идентификатора, соответствующего координатам береговой зоны. Необходим для точного позиционирования коллектора и определения прибрежной среды, влияющей на формирование коллекторских свойств и нефтегазоносность пласта.  
Единицы измерения: числовой идентификатор  
Значение признака важно для изучения распределения запасов углеводородов вдоль береговой полосы и оценки влияния гидродинамических процессов на коллекторские свойства."
10,Cорг,"Признак: «Сорг, %»
Описание: Содержание органического углерода (Carbon Organic, Сорг) в породе — показатель количества органического вещества, имеющего потенциал генерировать углеводороды. Выражается в процентах (%). Повышенные значения Сорг (обычно >0.5–1%) свидетельствуют о благоприятных условиях для образования нефти и газа. Признак применяется для оценки потенциальной нефтегазоносности отложений, особенно в осадочных бассейнах типа Каспийского моря."
