Name	Название	X	Y	Глубина, м	Т пласта, С	T max, С	С орг, %	P пласта, Мпа
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	500	33,8			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	1000	42,4			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	2000	54,9			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	2810	63,0			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	3000	67,3			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	4000	89,8			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	5000	112,3			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	5250	117,9			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	6000	132,1			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	7000	150,8			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	8000	169,1			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	9000	187,1			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	10000	204,8			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	11000	222,3			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	12000	239,5			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	13000	256,6			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	14000	273,4			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	15000	290,1			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	16000	306,7			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	17000	323,1			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	18000	339,3			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	19000	355,5			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	20000	371,5			
 B. KHARAMI	Банка Харами	9349676.17945253	4381111.24459636	20100	373,1			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	100	17,6			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	350	24,7			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	500	28,8			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	1000	42,0			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	2000	67,3			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	3000	91,8			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	4000	115,9			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	5000	139,6			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	6000	163,0			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	7000	186,2			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	8000	209,3			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	9000	232,1			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	10000	254,8			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	11000	277,4			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	12000	299,8			
 BILYASUVAR   (ZHDANOVSK)	Бильясувар (Ждановск)	9272145.13734789	4377451.67436357	12600	313,3			
 DUVANNY	Дуваны	9448897.1190271	4435335.73224687	500	31,3			
